App,Package,Start Time,Duration,Filename
"System",,"Jun 28, 2017 @ 03:08:06 PM","4 sec","greendroid2Trace.db"

Time  [ms],"Battery Remaining (%) [%]",Time  [ms],"Battery Status",Time  [ms],"Screen Brightness",Time  [ms],"Battery Power* [uW] (Raw)","Battery Power* [uW] (Delta)",Time  [ms],"GPU Frequency [KHz]",Time  [ms],"GPU Load [%]",Time  [ms],"CPU1 Frequency [kHz]",Time  [ms],"CPU2 Frequency [kHz]",Time  [ms],"CPU3 Frequency [kHz]",Time  [ms],"CPU4 Frequency [kHz]",Time  [ms],"CPU1 Load [%]",Time  [ms],"CPU2 Load [%]",Time  [ms],"CPU3 Load [%]",Time  [ms],"CPU4 Load [%]",Time  [ms],"Application State",Description,
101,77,101,1,99,0,101,46158,0,102,0,102,0,20,384000,87,0,98,0,100,0,87,53,88,0,99,0,100,0,100,0,,
125,77,125,1,124,0,125,684028,340448,125,0,126,0,121,1512000,123,0,124,0,125,0,123,100,123,0,124,0,125,0,125,0,,
226,77,226,1,225,0,226,171007,0,226,0,226,0,222,1512000,224,0,224,0,225,0,223,25,224,0,224,0,225,0,225,0,,
335,77,335,1,334,0,335,461153,117573,335,0,336,0,326,1458000,331,1512000,333,0,334,0,330,61,332,10,333,0,334,0,334,0,,
432,77,432,1,431,0,432,232569,0,432,0,433,0,426,1512000,428,1512000,430,0,431,0,428,22,429,12,430,0,431,0,431,0,,
532,77,532,1,531,0,532,511341,167761,532,0,533,0,526,1458000,529,1350000,530,0,531,0,528,53,530,30,531,0,532,0,532,0,,
634,77,634,1,632,0,634,232470,0,634,0,635,0,627,1350000,629,1350000,630,0,632,0,628,27,630,14,631,0,633,0,633,0,,
733,77,733,1,732,0,733,367330,23750,733,0,734,0,727,1242000,729,810000,731,0,732,0,729,63,731,22,731,0,732,0,732,0,,
852,77,852,1,847,0,851,13934,0,853,0,855,0,830,384000,836,384000,843,0,848,0,835,16,842,0,846,0,850,0,850,0,,
935,77,935,1,934,0,935,1114966,771386,935,0,940,0,929,1512000,931,1512000,933,0,934,0,931,75,933,88,934,0,934,0,935,0,,
1034,77,1035,1,1033,0,1034,300972,0,1035,0,1035,0,1029,1512000,1031,1512000,1033,0,1034,0,1031,22,1032,22,1033,0,1034,0,1034,0,,
1138,77,1138,1,1136,0,1138,195470,0,1138,0,1139,0,1130,702000,1133,1512000,1135,0,1137,0,1132,12,1135,25,1136,0,1137,0,1137,0,,
1275,77,1281,1,1256,0,1265,23514,0,1284,0,1286,0,1234,384000,1250,0,1253,0,1257,0,1244,27,1252,0,1254,0,1259,0,1260,0,,
1337,77,1337,1,1336,0,1337,601945,258365,1337,0,1338,0,1333,1512000,1335,0,1336,0,1336,0,1335,88,1335,0,1336,0,1337,0,1337,0,,
1437,77,1437,1,1436,0,1437,75243,0,1438,0,1439,0,1434,1512000,1435,0,1436,0,1437,0,1435,11,1436,0,1436,0,1437,0,1437,0,,
1543,77,1544,1,1540,0,1543,182217,0,1544,0,1546,0,1534,1026000,1537,0,1538,0,1542,0,1536,50,1537,0,1539,0,1542,0,1542,0,,
1639,77,1639,1,1637,0,1638,273611,0,1639,0,1640,0,1634,1512000,1636,0,1637,0,1637,0,1636,40,1636,0,1637,0,1638,0,1638,0,,
1742,77,1742,1,1737,0,1741,246250,0,1742,0,1744,0,1735,1512000,1736,0,1737,0,1738,0,1736,36,1737,0,1737,0,1740,0,1741,0,,
1890,77,1893,1,1873,0,1887,15676,0,1895,0,1903,0,1837,384000,1858,0,1866,0,1875,0,1845,18,1860,0,1868,0,1882,0,1884,0,,
1941,77,1941,1,1939,0,1940,547223,203643,1941,0,1942,0,1936,1512000,1938,0,1938,0,1939,0,1937,80,1938,0,1939,0,1939,0,1939,0,,
2040,77,2040,1,2039,0,2040,253090,0,2040,0,2041,0,2036,1512000,2038,0,2039,0,2039,0,2038,37,2038,0,2039,0,2040,0,2040,0,,
2146,77,2149,1,2143,0,2146,131196,0,2149,0,2153,0,2137,1026000,2140,0,2141,0,2143,0,2139,36,2141,0,2142,0,2144,0,2145,0,,
2241,77,2241,1,2240,0,2241,485660,142080,2241,0,2242,0,2237,1512000,2239,0,2239,0,2240,0,2238,71,2239,0,2240,0,2240,0,2241,0,,
2351,77,2352,1,2350,0,2351,307812,0,2352,0,2352,0,2346,1512000,2347,0,2349,0,2350,0,2347,45,2348,0,2349,0,2351,0,2351,0,,
2451,77,2451,1,2450,0,2451,153824,0,2451,0,2451,0,2446,1134000,2448,0,2449,0,2450,0,2448,36,2449,0,2449,0,2450,0,2450,0,,
2565,77,2565,1,2560,0,2563,50512,0,2566,0,2567,0,2550,384000,2558,0,2559,0,2561,0,2558,58,2559,0,2559,0,2562,0,2563,0,,
2653,77,2653,1,2652,0,2653,300972,0,2653,0,2654,0,2650,1512000,2651,0,2652,0,2653,0,2651,44,2652,0,2652,0,2653,0,2653,0,,
2754,77,2754,1,2753,0,2754,184687,0,2754,0,2755,0,2750,1512000,2752,0,2753,0,2754,0,2752,27,2752,0,2753,0,2754,0,2754,0,,
2901,77,2906,1,2886,0,2900,9580,0,2913,0,2914,0,2853,384000,2867,0,2878,0,2892,0,2858,11,2872,0,2884,0,2893,0,2896,0,,
2958,77,2958,1,2956,0,2957,615625,272045,2958,0,2959,0,2953,1512000,2955,0,2955,0,2956,0,2955,90,2955,0,2956,0,2957,0,2957,0,,
3057,77,3057,1,3056,0,3057,171007,0,3057,0,3059,0,3053,1512000,3055,0,3056,0,3057,0,3055,25,3056,0,3056,0,3057,0,3057,0,,
3163,77,3164,1,3159,0,3163,131196,0,3164,0,3167,0,3154,1026000,3157,0,3157,0,3160,0,3156,36,3157,0,3158,0,3161,0,3161,0,,
3259,77,3259,1,3257,0,3258,376215,32635,3259,0,3260,0,3254,1512000,3256,0,3257,0,3257,0,3256,55,3256,0,3257,0,3258,0,3258,0,,
3359,77,3360,1,3357,0,3359,225729,0,3360,0,3361,0,3355,1512000,3356,0,3357,0,3358,0,3356,33,3357,0,3357,0,3358,0,3359,0,,
3471,77,3471,1,3465,0,3470,122497,0,3472,0,3474,0,3455,918000,3458,0,3462,0,3467,0,3457,40,3460,0,3464,0,3468,0,3469,0,,
3569,77,3569,1,3566,0,3568,57480,0,3571,0,3573,0,3556,384000,3564,0,3565,0,3566,0,3563,66,3564,0,3565,0,3567,0,3568,0,,
3660,77,3660,1,3659,0,3660,300972,0,3660,0,3660,0,3656,1512000,3658,0,3658,0,3659,0,3657,44,3658,0,3659,0,3659,0,3659,0,,
3765,77,3766,1,3763,0,3765,259930,0,3766,0,3767,0,3756,1512000,3758,0,3761,0,3763,0,3758,38,3761,0,3762,0,3764,0,3764,0,,
3975,77,3976,1,3966,0,3975,47900,0,3976,0,3977,0,3918,384000,3952,0,3958,0,3974,0,3939,55,3953,0,3965,0,3975,0,3904,1,started,
3986,77,3986,1,3984,0,3986,759271,415691,3987,0,3987,0,3977,1512000,3980,1512000,3982,594000,3985,0,3979,100,3981,11,3983,0,3985,0,3972,0,stopped,
4065,77,4065,1,4064,0,4065,488209,144629,4065,0,4066,0,4058,1512000,4060,1350000,4062,594000,4064,0,4060,33,4061,37,4063,33,4064,0,3975,0,stopped,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3986,0,stopped,

System Statistics:
Sensor Id,Name,Type,Average
205,"Battery Remaining (%)",Battery Remaining [%],77.0
206,"Battery Status",Battery Status,1.0
331,"Screen Brightness",Brightness,0.0
332,"Battery Power*",Power [uW],70487.9512195122
400,"GPU Frequency",GPU Frequency [KHz],0.0
401,"GPU Load",GPU Load [%],0.0
1000,"CPU1 Frequency",CPU Frequency [kHz],1199707.3170731708
1001,"CPU2 Frequency",CPU Frequency [kHz],349170.73170731706
1002,"CPU3 Frequency",CPU Frequency [kHz],28975.60975609756
1003,"CPU4 Frequency",CPU Frequency [kHz],0.0
1096,"CPU1 Load",CPU Load [%],45.34146341463415
1097,"CPU2 Load",CPU Load [%],6.609756097560975
1098,"CPU3 Load",CPU Load [%],0.8048780487804879
1099,"CPU4 Load",CPU Load [%],0.0

Application State Statistics:
App State 0,"App State 0",Start Time: 0.00 s,End Time: 3.90 s
Sensor Id,Name,Type,Average
205,"Battery Remaining (%)",Battery Remaining [%],77.0
206,"Battery Status",Battery Status,1.0
331,"Screen Brightness",Brightness,0.0
332,"Battery Power*",Power [uW],62964.48648648649
400,"GPU Frequency",GPU Frequency [KHz],0.0
401,"GPU Load",GPU Load [%],0.0
1000,"CPU1 Frequency",CPU Frequency [kHz],1196432.4324324324
1001,"CPU2 Frequency",CPU Frequency [kHz],309567.5675675676
1002,"CPU3 Frequency",CPU Frequency [kHz],0.0
1003,"CPU4 Frequency",CPU Frequency [kHz],0.0
1096,"CPU1 Load",CPU Load [%],44.13513513513514
1097,"CPU2 Load",CPU Load [%],6.027027027027027
1098,"CPU3 Load",CPU Load [%],0.0
1099,"CPU4 Load",CPU Load [%],0.0
App State 1,"started",Start Time: 3.90 s,End Time: 3.97 s
Sensor Id,Name,Type,Average
1000,"CPU1 Frequency",CPU Frequency [kHz],1512000.0
1001,"CPU2 Frequency",CPU Frequency [kHz],0.0
1002,"CPU3 Frequency",CPU Frequency [kHz],0.0
1096,"CPU1 Load",CPU Load [%],38.0
1097,"CPU2 Load",CPU Load [%],0.0
1098,"CPU3 Load",CPU Load [%],0.0
App State 0,"stopped",Start Time: 3.97 s,End Time: 4.06 s
Sensor Id,Name,Type,Average
205,"Battery Remaining (%)",Battery Remaining [%],77.0
206,"Battery Status",Battery Status,1.0
331,"Screen Brightness",Brightness,0.0
332,"Battery Power*",Power [uW],140080.0
400,"GPU Frequency",GPU Frequency [KHz],0.0
401,"GPU Load",GPU Load [%],0.0
1000,"CPU1 Frequency",CPU Frequency [kHz],1136000.0
1001,"CPU2 Frequency",CPU Frequency [kHz],954000.0
1002,"CPU3 Frequency",CPU Frequency [kHz],396000.0
1003,"CPU4 Frequency",CPU Frequency [kHz],0.0
1096,"CPU1 Load",CPU Load [%],62.666666666666664
1097,"CPU2 Load",CPU Load [%],16.0
1098,"CPU3 Load",CPU Load [%],11.0
1099,"CPU4 Load",CPU Load [%],0.0

